FROM,TO,LENGTH,NOTES
3,4,32.5,
3,60,16.6,
4,5,46.5,
5,6,26.7,
5,49,15.1,
6,7,23.3,
6,29,18.7,
7,8,10.7,
7,13,15.6,
8,2,78.8,
9,10,19.0,
9,64,54.6,
9,68,20.1,
9,16,10.9,
10,12,37.3,
10,63,53.7,
11,12,14.9,
11,13,11.8,
12,65,58.6,
13,14,6.9,
13,28,18.5,
14,15,27.9,
14,27,16.6,
16,17,13.2,
16,18,12.9,
18,19,9.3,
18,20,28.7,
18,26,23.8,
20,21,20.8,
20,25,15.1,
21,22,9.7,
21,23,17.0,
22,42,31.9,
23,24,11.8,
23,34,49.3,
25,26,31.0,
25,66,18.8,
26,27,16.6,
27,28,12.1,
28,29,32.2,
28,70,28.4,
29,30,28.1,
29,50,14.7,
30,31,17.8,
30,36,13.6,
30,35,9.4,
31,33,19.0,
31,66,33.4,
31,32,10.2,
32,35,19.1,
32,34,9.0,
32,71,24.7,
34,41,10.5,
34,44,20.9,
35,44,10.3,
36,50,28.3,
36,37,28.8,
37,38,21.7,
37,45,14.6,
37,40,11.0,
38,39,11.5,
38,46,13.9,
39,40,21.2,
40,41,23.0,
40,44,8.9,
41,42,31.1,
42,43,19.9,
45,46,22.5,
45,52,27.4,
46,47,15.1,
47,48,11.8,
48,55,74.3,
49,50,13.5,
49,51,12.2,
49,52,29.3,
51,55,13.6,
51,53,26.3,
52,53,14.8,
53,54,35.1,
55,57,13.9,
56,57,9.8,
57,58,12.7,
58,59,14.8,
58,60,29.0,
60,61,26.2,
61,62,20.2,
63,64,13.9,
2,1,11.0,START
66,67,9.6,
68,69,7.7,
